episode,reward_sum,epsilon,loss,score
0,225,0.4949130000001361,,"[161, 123, 82, 185, 128, 111, 161, 139, 101, 172, 187, 97, 259, 204, 211, 289, 121, 172, 150, 289, 176, 165, 182, 118, 131]"
100,127,0.49019400000026236,,"[148, 65, 157, 166, 146, 171, 197, 136, 120, 81, 193, 200, 94, 154, 91, 121, 86, 93, 87, 167, 127, 131, 136, 126, 142]"
200,165,0.48532900000039253,,"[310, 186, 114, 279, 157, 207, 189, 164, 159, 288, 206, 173, 112, 172, 80, 179, 178, 91, 149, 129, 242, 189, 179, 166, 154]"
300,183,0.4805620000005201,,"[196, 224, 114, 148, 94, 179, 114, 194, 101, 145, 183, 214, 256, 315, 171, 95, 117, 249, 158, 78, 151, 112, 231, 136, 88]"
400,136,0.47558900000065313,,"[73, 86, 198, 111, 162, 125, 231, 156, 99, 171, 162, 187, 186, 92, 129, 139, 154, 203, 170, 278, 112, 162, 191, 109, 127]"
500,62,0.4706500000007853,,"[143, 206, 136, 175, 102, 202, 171, 116, 152, 204, 239, 263, 183, 101, 180, 196, 179, 170, 111, 180, 119, 152, 180, 246, 169]"
600,179,0.46581100000091474,,"[155, 165, 161, 239, 164, 159, 151, 220, 174, 164, 176, 197, 226, 144, 198, 276, 147, 271, 187, 122, 250, 150, 169, 236, 171]"
700,155,0.46097800000104405,,"[88, 71, 205, 200, 172, 233, 106, 189, 111, 143, 75, 118, 180, 223, 146, 78, 174, 168, 144, 187, 157, 95, 129, 246, 190]"
800,152,0.4559830000011777,,"[226, 169, 264, 185, 112, 82, 202, 123, 101, 148, 190, 189, 171, 233, 68, 227, 52, 128, 137, 179, 240, 109, 202, 133, 187]"
900,199,0.45100300000131094,,"[96, 170, 174, 187, 261, 172, 92, 262, 183, 184, 167, 216, 122, 114, 157, 171, 152, 197, 174, 172, 174, 249, 88, 223, 219]"
1000,173,0.4461950000014396,,"[225, 136, 164, 318, 159, 205, 122, 232, 128, 237, 265, 43, 159, 181, 104, 130, 137, 237, 133, 111, 107, 181, 83, 111, 230]"
1100,132,0.4413540000015691,,"[217, 182, 132, 150, 128, 144, 135, 93, 145, 110, 118, 49, 169, 198, 178, 189, 135, 131, 118, 80, 236, 203, 123, 201, 150]"
1200,173,0.4365410000016979,,"[162, 71, 168, 144, 188, 149, 197, 155, 183, 263, 151, 205, 115, 93, 178, 269, 275, 196, 133, 152, 168, 195, 154, 270, 90]"
1300,63,0.43141700000183497,,"[95, 137, 164, 283, 233, 161, 154, 229, 189, 95, 179, 203, 191, 143, 206, 208, 96, 206, 86, 146, 213, 214, 268, 118, 155]"
1400,117,0.42645500000196773,,"[76, 131, 105, 108, 221, 70, 191, 181, 159, 111, 188, 97, 117, 209, 103, 109, 133, 187, 111, 126, 156, 106, 171, 129, 173]"
1500,130,0.4216870000020953,,"[173, 132, 163, 149, 181, 228, 178, 94, 175, 136, 182, 209, 260, 144, 125, 177, 163, 161, 144, 189, 90, 302, 190, 167, 232]"
1600,222,0.41669900000222876,,"[296, 115, 214, 193, 243, 54, 113, 200, 140, 141, 180, 192, 187, 126, 127, 122, 147, 183, 72, 77, 92, 162, 128, 250, 114]"
1700,182,0.41162300000236457,,"[120, 225, 180, 304, 143, 268, 77, 125, 220, 203, 190, 197, 176, 131, 163, 78, 140, 218, 172, 173, 173, 182, 99, 220, 146]"
1800,130,0.4067750000024943,,"[159, 169, 139, 217, 94, 131, 201, 86, 188, 226, 145, 163, 176, 112, 201, 85, 140, 128, 138, 169, 128, 114, 197, 151, 111]"
1900,174,0.4018400000026263,,"[67, 237, 273, 276, 251, 144, 17, 75, 99, 294, 161, 183, 251, 197, 150, 131, 249, 176, 165, 21, 140, 184, 115, 305, 187]"
2000,233,0.3968140000027608,,"[142, 130, 195, 104, 112, 156, 109, 272, 136, 199, 173, 226, 163, 174, 207, 184, 204, 123, 167, 97, 136, 124, 64, 215, 155]"
