episode,reward_sum,epsilon,loss,score
0,-869,0.49494500000013525,,"[106, 168, 42, 154, 55, 111, 148, 77, 96, 93, 170, 50, 67, 123, 99, 42, 186, 49, 129, 159, 60, 80, 195, 97, 89]"
100,-827,0.49057900000025206,,"[122, 280, 170, 97, 143, 200, 126, 98, 104, 187, 146, 123, 204, 111, 153, 260, 185, 149, 150, 223, 110, 134, 189, 125, 156]"
200,-801,0.48614000000037083,,"[151, 170, 166, 167, 170, 126, 307, 224, 292, 245, 249, 204, 210, 24, 228, 76, 220, 170, 126, 155, 190, 168, 225, 134, 98]"
300,-925,0.48156800000049316,,"[114, 198, 202, 287, 186, 247, 230, 147, 153, 217, 209, 167, 150, 107, 160, 214, 188, 122, 216, 118, 168, 161, 185, 97, 168]"
400,-858,0.4769320000006172,,"[52, 110, 83, 115, 168, 116, 141, 290, 160, 193, 179, 225, 116, 150, 124, 221, 159, 121, 170, 155, 183, 191, 216, 171, 159]"
500,-877,0.4723720000007392,,"[240, 97, 201, 113, 193, 200, 160, 230, 84, 156, 147, 99, 243, 111, 134, 187, 155, 246, 136, 119, 173, 166, 87, 191, 199]"
600,-853,0.46779200000086174,,"[211, 220, 252, 125, 140, 165, 168, 219, 137, 216, 149, 180, 295, 211, 114, 248, 229, 213, 317, 221, 179, 197, 181, 196, 155]"
700,-850,0.46309400000098744,,"[86, 99, 298, 152, 309, 161, 118, 142, 181, 256, 171, 173, 247, 81, 149, 169, 136, 190, 153, 267, 114, 288, 136, 117, 151]"
800,-932,0.4585100000011101,,"[132, 243, 196, 231, 87, 215, 124, 100, 173, 128, 133, 180, 191, 213, 166, 165, 120, 116, 106, 119, 153, 180, 99, 165, 114]"
900,-841,0.4540210000012302,,"[144, 89, 266, 150, 160, 274, 118, 209, 283, 191, 161, 193, 109, 166, 246, 85, 178, 125, 211, 174, 168, 194, 173, 103, 206]"
1000,-877,0.44930200000135645,,"[185, 143, 313, 180, 150, 298, 95, 252, 124, 110, 317, 156, 272, 166, 234, 171, 130, 166, 290, 97, 98, 191, 153, 138, 182]"
1100,-839,0.44466300000148057,,"[206, 240, 187, 208, 171, 253, 226, 128, 284, 200, 169, 237, 264, 113, 233, 200, 194, 119, 282, 233, 199, 264, 242, 168, 134]"
1200,-879,0.44015700000160113,,"[163, 128, 285, 269, 83, 162, 178, 274, 259, 117, 206, 249, 183, 88, 164, 174, 242, 144, 178, 186, 172, 170, 186, 239, 151]"
1300,-890,0.43553300000172485,,"[204, 154, 70, 192, 212, 154, 129, 166, 316, 77, 163, 197, 198, 241, 207, 236, 202, 309, 174, 115, 163, 188, 191, 152, 200]"
1400,-875,0.43088700000184915,,"[129, 123, 139, 122, 264, 237, 150, 176, 140, 173, 192, 295, 174, 106, 181, 73, 186, 251, 172, 163, 161, 182, 209, 166, 291]"
1500,-857,0.42630800000197167,,"[201, 121, 95, 143, 243, 151, 254, 229, 177, 114, 259, 205, 225, 188, 75, 141, 159, 172, 179, 209, 266, 272, 155, 143, 235]"
1600,-834,0.4218290000020915,,"[170, 165, 165, 205, 5, 270, 83, 165, 198, 186, 345, 141, 181, 178, 164, 254, 243, 203, 143, 195, 167, 193, 44, 171, 274]"
1700,-853,0.4173710000022108,,"[182, 216, 104, 104, 193, 221, 131, 275, 187, 195, 177, 197, 152, 155, 145, 199, 243, 203, 98, 201, 66, 195, 170, 138, 274]"
1800,-880,0.4127720000023338,,"[110, 285, 252, 152, 87, 182, 111, 193, 166, 147, 167, 301, 130, 168, 146, 171, 159, 222, 235, 176, 125, 131, 133, 146, 96]"
1900,-890,0.40814700000245757,,"[206, 212, 215, 115, 148, 183, 144, 83, 156, 125, 217, 179, 74, 196, 250, 87, 167, 208, 203, 150, 307, 201, 126, 207, 283]"
2000,-922,0.40343400000258367,,"[135, 299, 173, 186, 125, 19, 237, 182, 167, 178, 200, 229, 174, 201, 149, 176, 286, 125, 156, 226, 112, 253, 189, 182, 24]"
